ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,False Beaching (Too Late),Time in Coastal Zone (steps),Mean Curvature,95% Curvature,Dominant Freq (1/h),Curvature Total Energy,High/Low Freq Ratio
0,52.2008,4.30033,58.1162,6.56566,22.193238212223825,6.334325312841138,0.2854169027642055,0.0782121134193222,0.30203465233313875,0.051092585836990875,0.0,182538.54847222602,97661.25026638925,0.0,8759,86.55839319304167,False,,,,,False,33,27.2129012968677,105.53341747985394,0.00228310502283105,119013934133.04172,0.16294103808664323
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,False,0,31.482326544717843,120.58107361014662,0.00228310502283105,123376093778.76764,0.10854490316969961
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,162191.0,8759,95.2901871402193,False,,,,,False,0,30.36850777465218,116.57551798833587,0.023059360730593607,131255726405.3854,0.15060115496925178
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,False,0,29.150410782609818,110.19858439953505,0.031735159817351595,118243249289.39693,0.12069278018122204
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,False,0,27.993695285608965,105.88554943967961,0.00228310502283105,119964189913.72621,0.12413977598424843
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,False,0,27.69564052657262,107.0689390458491,0.00228310502283105,120278175254.00504,0.1252237165216278
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,False,0,27.016476931347547,100.92617726807333,0.00228310502283105,115999997207.2003,0.12517024876641286
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,False,0,26.636917054006425,100.37597540820279,0.0005707762557077625,117809846188.70726,0.13247717653078953
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,45332.9,8759,88.14496346226811,False,,,,,False,0,26.5553365826484,102.30493103770532,0.0005707762557077625,109484909280.31488,0.12140723431448865
9,52.3192,4.3583,58.9143,5.56821,19.513517287817308,6.705164145500088,0.3436163786672258,0.07615940910570647,0.30747159662154167,0.0518908169245788,0.0,188623.11973404046,96071.46984539361,1338.39,7909,84.53709757247505,True,7909.0,1338.39,0.0139672,0.00523046,True,365,27.099612828130535,105.97361405509868,0.002275600505689001,87217855312.84483,0.14578633347721437
